#,Článek,Obrázek,Počet obyvatel,Rozloha (km2),Okres
375,Krásná Lípa,,3 428,"31,42",okres Děčín
376,Újezd u Brna,,3 371,"13,07",okres Brno-venkov
377,Libušín,,3 369,"9,48",okres Kladno
378,Trmice,,3 353,"6,66",okres Ústí nad Labem
379,Staňkov,,3 328,"20,49",okres Domažlice
380,Hrušovany nad Jevišovkou,,3 309,"25,3",okres Znojmo
381,Nová Bystřice,,3 244,"81,8",okres Jindřichův Hradec
382,Sadská,,3 221,"16,44",okres Nymburk
383,Košťany,,3 209,"24,3",okres Teplice
384,Chrast,,3 148,"17,84",okres Chrudim
385,Jablonné nad Orlicí,,3 137,"4,38",okres Ústí nad Orlicí
386,Ždírec nad Doubravou,,3 135,"26,73",okres Havlíčkův Brod
387,Žacléř,,3 126,"21,82",okres Trutnov
388,Uhlířské Janovice,,3 119,"25,46",okres Kutná Hora
389,Velké Pavlovice,,3 118,"23,25",okres Břeclav
390,Desná,,3 112,"12,58",okres Jablonec nad Nisou
391,Opočno,,3 094,"14,01",okres Rychnov nad Kněžnou
392,Loket,,3 079,"26,73",okres Sokolov
393,Velvary,,3 056,"18,1",okres Kladno
394,Kaznějov,,3 050,"12,3",okres Plzeň-sever
395,Břidličná,,3 043,"25,81",okres Bruntál
396,Třemošnice,,3 039,19,okres Chrudim
397,Hanušovice,,3 030,"36,81",okres Šumperk
398,Podivín,,3 009,"17,75",okres Břeclav
399,Miroslav,,3 006,"26,6",okres Znojmo
400,Volyně,,3 000,"20,58",okres Strakonice
401,Hodkovice nad Mohelkou,,2 967,"13,49",okres Liberec
402,Rtyně v Podkrkonoší,,2 962,"13,89",okres Trutnov
403,Teplá,,2 961,"113,22",okres Cheb
404,Morkovice-Slížany,,2 959,"21,15",okres Kroměříž
405,Loštice,,2 959,12,okres Šumperk
406,Slušovice,,2 959,"7,11",okres Zlín
407,Úštěk,,2 944,"74,95",okres Litoměřice
408,Chvaletice,,2 934,"8,5",okres Pardubice
409,Ivanovice na Hané,,2 930,"21,43",okres Vyškov
410,Smiřice,,2 927,"10,68",okres Hradec Králové
411,Žirovnice,,2 920,"44,41",okres Pelhřimov
412,Moravský Beroun,,2 916,"51,22",okres Olomouc
413,Budišov nad Budišovkou,,2 912,"79,15",okres Opava
414,Rotava,,2 902,"12,03",okres Sokolov
415,Kostelec na Hané,,2 897,"13,86",okres Prostějov
416,Spálené Poříčí,,2 873,"57,82",okres Plzeň-jih
417,Vejprty,,2 872,"9,77",okres Chomutov
418,Sedlec-Prčice,,2 861,"64,13",okres Příbram
419,Terezín,,2 852,"13,54",okres Litoměřice
420,Zákupy,,2 845,"40,78",okres Česká Lípa
421,Raspenava,,2 837,"41,22",okres Liberec
422,Hrádek,,2 824,"6,05",okres Rokycany
423,Dolní Bousov,,2 814,"24,31",okres Mladá Boleslav
424,Český Dub,,2 802,"22,57",okres Liberec
425,Kunštát,,2 798,"24,2",okres Blansko
426,Jevíčko,,2 790,"23,22",okres Svitavy
427,Městec Králové,,2 787,"19,87",okres Nymburk
428,Rychnov u Jablonce nad Nisou,,2 785,"12,26",okres Jablonec nad Nisou
429,Plasy,,2 770,"57,14",okres Plzeň-sever
430,Konice,,2 753,"24,44",okres Prostějov
431,Hejnice,,2 730,"38,41",okres Liberec
432,Javorník,,2 725,"77,42",okres Jeseník
433,Mladá Vožice,,2 709,"31,59",okres Tábor
434,Koryčany,,2 706,"41,13",okres Kroměříž
435,Golčův Jeníkov,,2 706,"27,49",okres Havlíčkův Brod
436,Kelč,,2 699,"27,84",okres Vsetín
437,Velké Hamry,,2 694,"9,32",okres Jablonec nad Nisou
438,Neveklov,,2 676,"54,46",okres Benešov
439,Březová,,2 660,"59,59",okres Sokolov
440,Vyšší Brod,,2 621,"69,76",okres Český Krumlov
441,Luže,,2 619,"30,71",okres Chrudim
442,Nové Sedlo,,2 612,"16,98",okres Sokolov
443,Rokytnice nad Jizerou,,2 601,"36,94",okres Semily
444,Rudolfov,,2 572,"3,19",okres České Budějovice
445,Netolice,,2 559,"26,35",okres Prachatice
446,Počátky,,2 518,"30,84",okres Pelhřimov
447,Chabařovice,,2 517,"16,9",okres Ústí nad Labem
448,Nové Hrady,,2 512,"79,75",okres České Budějovice
449,Zbiroh,,2 508,"31,94",okres Rokycany
450,Ždánice,,2 499,"20,82",okres Hodonín
451,Klobouky u Brna,,2 488,"31,27",okres Břeclav
452,Bohušovice nad Ohří,,2 486,"8,62",okres Litoměřice
453,Chýnov,,2 472,"30,51",okres Tábor
454,Dolní Kounice,,2 471,"8,97",okres Brno-venkov
455,Tovačov,,2 461,"22,77",okres Přerov
456,Karolinka,,2 452,"42,15",okres Vsetín
457,Jáchymov,,2 381,"50,77",okres Karlovy Vary
458,Sobotka,,2 377,"19,33",okres Jičín
459,Dašice,,2 365,"17,73",okres Pardubice
460,Meziměstí,,2 360,"25,71",okres Náchod
461,Kryry,,2 354,"39,45",okres Louny
462,Nechanice,,2 348,"27,99",okres Hradec Králové
463,Slavonice,,2 343,"45,81",okres Jindřichův Hradec
464,Janovice nad Úhlavou,,2 324,"28,48",okres Klatovy
465,Plumlov,,2 312,"11,52",okres Prostějov
466,Mirošov,,2 274,"13,63",okres Rokycany
467,Nová Včelnice,,2 269,"10,1",okres Jindřichův Hradec
468,Veltrusy,,2 268,"8,01",okres Mělník
469,Žlutice,,2 249,"53,01",okres Karlovy Vary
470,Solnice,,2 247,"12,66",okres Rychnov nad Kněžnou
471,Horní Jiřetín,,2 242,"39,86",okres Most
472,Horní Benešov,,2 238,"20,4",okres Bruntál
473,Kardašova Řečice,,2 232,"45,83",okres Jindřichův Hradec
474,Žebrák,,2 212,"8,51",okres Beroun
475,Město Touškov,,2 180,"9,63",okres Plzeň-sever
476,Hranice,,2 151,"31,79",okres Cheb
477,Budyně nad Ohří,,2 139,"33,57",okres Litoměřice
478,Luby,,2 124,"30,69",okres Cheb
